,measure,Product_ID,Recipe_ID,normal_count,median,lower_warning,upper_warning
0,Coating_Uniformity,PKG_A,RCP_1,1737,98.818,98.10904,99.35191999999999
1,Coating_Uniformity,PKG_A,RCP_2,1650,98.80850000000001,98.163245,99.43754499999999
2,Coating_Uniformity,PKG_A,RCP_3,1632,98.812,98.152945,99.32969
3,Coating_Uniformity,PKG_A,RCP_4,1602,98.808,98.15406999999999,99.37197
4,Coating_Uniformity,PKG_A,RCP_5,1690,98.8115,98.17789,99.39422
5,Coating_Uniformity,PKG_A,RCP_6,1613,98.812,98.088,99.34982
6,Coating_Uniformity,PKG_A,RCP_7,1706,98.8115,98.096525,99.413975
7,Coating_Uniformity,PKG_A,RCP_8,1700,98.808,98.04389,99.37904999999999
8,Coating_Uniformity,PKG_A,RCP_9,1736,98.809,98.08305,99.43672500000001
9,Coating_Uniformity,PKG_B,RCP_1,1765,98.815,98.06764,99.3859
10,Coating_Uniformity,PKG_B,RCP_2,1749,98.819,98.09618,99.41911999999999
11,Coating_Uniformity,PKG_B,RCP_3,1673,98.797,98.07784,99.39404
12,Coating_Uniformity,PKG_B,RCP_4,1707,98.808,98.1433,99.4277
13,Coating_Uniformity,PKG_B,RCP_5,1646,98.8075,98.098575,99.3881
14,Coating_Uniformity,PKG_B,RCP_6,1613,98.815,98.15018,99.36646
15,Coating_Uniformity,PKG_B,RCP_7,1605,98.808,98.139,99.3834
16,Coating_Uniformity,PKG_B,RCP_8,1633,98.815,98.10544,99.3892
17,Coating_Uniformity,PKG_B,RCP_9,1640,98.81,98.06019500000001,99.40707499999999
18,Coating_Uniformity,PKG_C,RCP_1,1627,98.821,98.07751999999999,99.36887
19,Coating_Uniformity,PKG_C,RCP_2,1738,98.806,98.06407,99.37652
20,Coating_Uniformity,PKG_C,RCP_3,1706,98.815,98.163925,99.454
21,Coating_Uniformity,PKG_C,RCP_4,1637,98.806,98.12472,99.37828
22,Coating_Uniformity,PKG_C,RCP_5,1697,98.809,98.1154,99.4398
23,Coating_Uniformity,PKG_C,RCP_6,1630,98.8065,98.14114500000001,99.445245
24,Coating_Uniformity,PKG_C,RCP_7,1676,98.825,98.15225000000001,99.376625
25,Coating_Uniformity,PKG_C,RCP_8,1692,98.8205,98.092825,99.36336
26,Coating_Uniformity,PKG_C,RCP_9,1784,98.803,98.101575,99.37485
27,Coating_Uniformity,PKG_D,RCP_1,1706,98.801,98.10787499999999,99.41095
28,Coating_Uniformity,PKG_D,RCP_2,1611,98.806,98.1773,99.41265
29,Coating_Uniformity,PKG_D,RCP_3,1671,98.814,98.18939999999999,99.43195
30,Coating_Uniformity,PKG_D,RCP_4,1595,98.799,98.13143000000001,99.33802999999999
31,Coating_Uniformity,PKG_D,RCP_5,1681,98.815,98.15740000000001,99.4208
32,Coating_Uniformity,PKG_D,RCP_6,1690,98.814,98.11489,99.410555
33,Coating_Uniformity,PKG_D,RCP_7,1655,98.799,98.11427,99.39292
34,Coating_Uniformity,PKG_D,RCP_8,1625,98.805,98.08636,99.39788
35,Coating_Uniformity,PKG_D,RCP_9,1730,98.797,98.149515,99.359065
36,Coating_Uniformity,PKG_E,RCP_1,1697,98.809,98.1524,99.39156
37,Coating_Uniformity,PKG_E,RCP_2,1692,98.812,98.087455,99.402995
38,Coating_Uniformity,PKG_E,RCP_3,1680,98.801,98.11413499999999,99.39721
39,Coating_Uniformity,PKG_E,RCP_4,1731,98.821,98.10965,99.4237
40,Coating_Uniformity,PKG_E,RCP_5,1670,98.8015,98.11869,99.397965
41,Coating_Uniformity,PKG_E,RCP_6,1666,98.817,98.12384999999999,99.377675
42,Coating_Uniformity,PKG_E,RCP_7,1656,98.8065,98.106825,99.396525
43,Coating_Uniformity,PKG_E,RCP_8,1758,98.806,98.10471,99.37165499999999
44,Coating_Uniformity,PKG_E,RCP_9,1697,98.815,98.11092,99.38772
45,Coating_Uniformity,PKG_F,RCP_1,1758,98.82249999999999,98.10357,99.41929
46,Coating_Uniformity,PKG_F,RCP_2,1691,98.816,98.17345,99.40055
47,Coating_Uniformity,PKG_F,RCP_3,1674,98.7955,98.11311,99.393175
48,Coating_Uniformity,PKG_F,RCP_4,1788,98.8115,98.106675,99.41832500000001
49,Coating_Uniformity,PKG_F,RCP_5,1673,98.82,98.11836,99.43975999999999
50,Coating_Uniformity,PKG_F,RCP_6,1695,98.797,98.13552,99.39501
51,Coating_Uniformity,PKG_F,RCP_7,1674,98.804,98.0706,99.415525
52,Coating_Uniformity,PKG_F,RCP_8,1724,98.805,98.11584500000001,99.36385
53,Coating_Uniformity,PKG_F,RCP_9,1611,98.82,98.16810000000001,99.39695
54,Surface_Roughness,PKG_A,RCP_1,1737,0.5836,0.499676,0.6679839999999999
55,Surface_Roughness,PKG_A,RCP_2,1650,0.5835,0.500143,0.6728795
56,Surface_Roughness,PKG_A,RCP_3,1632,0.5834,0.5071705,0.6671885000000001
57,Surface_Roughness,PKG_A,RCP_4,1602,0.5835,0.50092,0.6754979999999999
58,Surface_Roughness,PKG_A,RCP_5,1690,0.58195,0.5022225,0.6676
59,Surface_Roughness,PKG_A,RCP_6,1613,0.585,0.503642,0.660652
60,Surface_Roughness,PKG_A,RCP_7,1706,0.584,0.5025325,0.6658524999999997
61,Surface_Roughness,PKG_A,RCP_8,1700,0.58295,0.501799,0.6660089999999999
62,Surface_Roughness,PKG_A,RCP_9,1736,0.58255,0.5050875,0.6667325
63,Surface_Roughness,PKG_B,RCP_1,1765,0.5824,0.505958,0.6700220000000001
64,Surface_Roughness,PKG_B,RCP_2,1749,0.584,0.5065620000000001,0.664524
65,Surface_Roughness,PKG_B,RCP_3,1673,0.5831,0.498916,0.66862
66,Surface_Roughness,PKG_B,RCP_4,1707,0.5817,0.497906,0.665147
67,Surface_Roughness,PKG_B,RCP_5,1646,0.5831500000000001,0.5044675,0.6679150000000003
68,Surface_Roughness,PKG_B,RCP_6,1613,0.5828,0.498596,0.664588
69,Surface_Roughness,PKG_B,RCP_7,1605,0.584,0.502916,0.6707780000000002
70,Surface_Roughness,PKG_B,RCP_8,1633,0.5835,0.5029279999999999,0.6690759999999999
71,Surface_Roughness,PKG_B,RCP_9,1640,0.5835,0.4999705,0.6691075000000001
72,Surface_Roughness,PKG_C,RCP_1,1627,0.5843,0.502826,0.6715659999999998
73,Surface_Roughness,PKG_C,RCP_2,1738,0.5831999999999999,0.502407,0.6643315
74,Surface_Roughness,PKG_C,RCP_3,1706,0.5827,0.50322,0.6654724999999998
75,Surface_Roughness,PKG_C,RCP_4,1637,0.584,0.506718,0.658046
76,Surface_Roughness,PKG_C,RCP_5,1697,0.583,0.506488,0.66614
77,Surface_Roughness,PKG_C,RCP_6,1630,0.5835,0.505316,0.655868
78,Surface_Roughness,PKG_C,RCP_7,1676,0.58395,0.49548749999999997,0.6711
