,원본,R1
Bottom_Kerf,0.05410341593060417,0.7965341173904547
Coating_Thickness,0.0017294319417562667,-0.0006643358681321408
Coating_Uniformity,0.0006429533942490858,-0.0002030679107950206
Cutting_Offset,0.00811878985590795,0.6503273607644979
Groove_Depth,-0.023468971367846807,-0.633156265109972
Kerf_Angle,0.007693764831724012,0.5109223105224938
Kerf_Width_Profile,0.04565140239437131,0.792239441213795
Package_Size_1,-0.004387113380024634,-0.5937812938829985
Package_Size_2,-0.0023906529502610015,-0.4681248759511813
Package_Size_3,0.0029138621052511517,0.46299189787042005
Package_Size_4,0.004145553903639949,0.5922558670824094
Surface_Roughness,0.3288910567882686,0.5270958350250058
Top_Kerf,0.05058508461455708,0.7932362508341378
