,원본,R1
Alignment_Time,0.0006264839118634834,-0.0013465277603554066
Beam_Diameter,-0.0018111977673914731,0.0035809777251855184
CLN_Flow,-0.06338421452596063,-0.06088990713848228
CLN_Pressure,0.0022980664482534613,-0.000256469663580291
CLN_Time,0.006018640757367344,0.0015256431609765638
Coating_Flow,-0.0022718412470169942,-0.0034067417936815463
Cooling_Flow,-0.012400039584607031,-0.32031889800933205
Cooling_Water_Temp,-0.004260480935578268,-0.004160632669391617
Cutting_X_Index,0.0010979033321574978,-0.00280621028973331
Cutting_Y_Index,0.006722912254895844,0.001394864002713671
Door_Open_Count,0.0015645534180098995,-0.001036635973397189
Factory_Power,0.00018688172539366114,0.0005764748721226049
Fan_RPM,-0.0011354443007519537,0.000805704630133016
Feed_Speed,0.0003254720442469407,0.001566336099851753
Focus,0.05349602407221734,0.5880419623309688
Frequency,-0.0034200097523913774,0.0006917285705375941
Head_Temp,0.05231673191083843,0.5838379021679245
LED_Brightness,-0.0027277290824810198,-0.00404822161001711
Laser_Centering_Position,0.007319696738323559,0.6633528173176294
Laser_Current,0.0010617705100503213,0.006142114547172931
Laser_Head_Remain_Time,-0.0022480985634449084,-3.598906450002124e-05
Laser_Power,-0.051848135208656124,-0.7272168723448634
Laser_Voltage,0.004546378041422897,0.0006144953772677539
Maintenance_Count,-0.0024531766731473886,-0.001077557274796073
Network_Latency,-0.0012852204668214174,-0.003228874962243793
PLC_CPU_Load,-0.001904619363797411,0.0028214653298276036
PLC_Memory,0.0011466487916883406,-0.0020171239941709587
Power_Efficiency,-0.040821548995816664,-0.7439560191544846
Process_Time,0.006794525248729603,-0.0018815464934703685
Room_Noise,0.003053841448074463,0.007293327226939722
Vision_Exposure,3.666666776252775e-05,-0.0065232806944081545
