Machine_ID,column,n_days,kendall_tau,kendall_p_value,ols_slope_per_day,ols_p_value,trend_class
DP01,Laser_Power,89,0.04954034729315629,0.4917643144653331,0.00016578987431893527,0.4889454666193913,no_trend
DP01,Power_Efficiency,89,0.031154239019407563,0.6654879669269851,0.00010034763460012383,0.620327357366953,no_trend
DP01,Laser_Centering_Position,89,0.06179775280898877,0.3911079627333236,0.00018170726107542216,0.4005553926862965,no_trend
DP01,Laser_Current,89,-0.1537282941777324,0.03289250331584509,-0.0005403755588957262,0.04911151760442619,candidate_downward_drift
DP01,Laser_Voltage,89,-0.04443309499489275,0.537479770160478,-0.00013466950356901108,0.5821509107258555,no_trend
DP01,Beam_Diameter,89,-0.10827374872318693,0.1329450441181867,-0.0003076797822850894,0.19249301784042275,no_trend
DP01,Feed_Speed,89,0.1307456588355465,0.06960890821581829,0.00036505325456697997,0.15314006414406667,no_trend
DP01,Frequency,89,0.002042900919305414,0.9773824144608225,-6.630236805080243e-05,0.7849190547224675,no_trend
DP01,Alignment_Time,89,0.08375893769152196,0.24508105322455676,0.00022126346917126689,0.32429370321666784,no_trend
DP01,Process_Time,89,-0.02093973442288049,0.7713610420023,-7.087849018486882e-05,0.7759652060539632,no_trend
DP01,Cutting_X_Index,89,0.015832482124616958,0.8260906194935465,0.0001044406489847632,0.6914142040330045,no_trend
DP01,Cutting_Y_Index,89,-0.07916241062308478,0.2719464771909569,-0.0002792525282400741,0.2817699818849996,no_trend
DP01,Head_Temp,89,-0.0898876404494382,0.21223898020967846,-0.00029795316154307915,0.17177579650708555,no_trend
DP01,Cooling_Flow,89,-0.031664964249233915,0.6603453378116706,-0.0001169447815966653,0.6253161547281414,no_trend
DP01,Cooling_Water_Temp,89,-0.01889683350357508,0.7931330874030558,-0.00012091507455260464,0.629216143381292,no_trend
DP01,Focus,89,-0.0725229826353422,0.31419859028911234,-0.00017252456854528343,0.338672455644352,no_trend
DP01,CLN_Flow,89,0.02093973442288049,0.7713610420023,1.4830788087406776e-05,0.9459908715195227,no_trend
DP01,CLN_Pressure,89,0.021450459652706845,0.7659453180808753,0.0001282445837665214,0.5994228322575366,no_trend
DP01,CLN_Time,89,-0.028600612870275793,0.6914335938068317,-5.1126476142404324e-05,0.8315476128610045,no_trend
DP01,Coating_Flow,89,-0.06179775280898877,0.3911079627333236,-0.00019380003925151086,0.42954726462715087,no_trend
DP01,Laser_Head_Remain_Time,89,0.06486210418794688,0.36804793099113564,0.00019217299536930835,0.3127825103818773,no_trend
DP01,Vibration,89,0.02093973442288049,0.7713610420023,4.68547222592488e-05,0.8214988150270961,no_trend
DP01,Kerf_Width_Profile,89,-0.0449438202247191,0.5328139709417057,-0.00011038266152903069,0.5750898565205691,no_trend
DP01,Top_Kerf,89,-0.016853932584269666,0.8150675963496954,-7.190739399040362e-05,0.7273718723453627,no_trend
DP01,Bottom_Kerf,89,-0.01327885597548519,0.853793966573877,1.7607345905558838e-06,0.993288432552679,no_trend
DP01,Kerf_Angle,89,0.0582226762002043,0.4190928800078936,0.00019671283319518514,0.3340774177505843,no_trend
