Product_ID,Recipe_ID,column,n,mean,std,cv,median,mad,robust_z_scale,p0_5,p99_5,min,max
PKG_A,RCP_1,Laser_Power,1082,18.48105822550832,0.10496949617171246,0.005679842295330752,18.489,0.05999999999999872,0.08895599999999809,17.939214999999997,18.702595,17.743,18.751
PKG_A,RCP_2,Laser_Power,1068,18.47888202247191,0.10318966956621206,0.005584194403142167,18.487,0.0589999999999975,0.08747339999999629,18.079715,18.675,17.862,18.786
PKG_A,RCP_3,Laser_Power,1103,18.478249320036262,0.1060217183045986,0.0057376495180004716,18.488,0.05900000000000105,0.08747340000000156,17.932750000000002,18.70894,17.85,18.762
PKG_A,RCP_4,Laser_Power,1068,18.477840823970038,0.1056930576566347,0.005719989616943032,18.485500000000002,0.059499999999999886,0.08821469999999983,17.947005,18.705995,17.788,18.75
PKG_A,RCP_5,Laser_Power,1118,18.475602862254025,0.1061190344919551,0.005743738663530061,18.488500000000002,0.05749999999999744,0.0852494999999962,18.010460000000002,18.699245,17.738,18.739
PKG_A,RCP_6,Laser_Power,1099,18.479510464058233,0.10112436494478412,0.005472242630099222,18.485,0.05799999999999983,0.08599079999999974,18.16158,18.71902,17.838,18.756
PKG_A,RCP_7,Laser_Power,1107,18.481649503161698,0.10629438975814676,0.005751347559099783,18.492,0.05799999999999983,0.08599079999999974,17.90107,18.68241,17.736,18.773
PKG_A,RCP_8,Laser_Power,1024,18.481419921875,0.10002958229889419,0.005412440316909691,18.486,0.05900000000000105,0.08747340000000156,18.129920000000002,18.71677,17.829,18.754
PKG_A,RCP_9,Laser_Power,1087,18.475499540018397,0.10884009994970908,0.005891050453816347,18.485,0.06099999999999994,0.09043859999999991,17.93519,18.70928,17.775,18.743
PKG_B,RCP_1,Laser_Power,1137,18.476845206684256,0.10948529853547344,0.0059255407138371005,18.483,0.05999999999999872,0.08895599999999809,17.958,18.71432,17.85,18.779
PKG_B,RCP_2,Laser_Power,1118,18.480690518783543,0.09895462964555662,0.005354487677015119,18.484,0.058000000000001606,0.08599080000000238,18.136475,18.702830000000002,17.867,18.767
PKG_B,RCP_3,Laser_Power,1083,18.481349030470913,0.10010765954471812,0.005416685728929569,18.488,0.06400000000000006,0.09488640000000008,18.19602,18.72095,17.737,18.743
PKG_B,RCP_4,Laser_Power,1099,18.47793448589627,0.10886769967195076,0.005891767813932161,18.485,0.06099999999999994,0.09043859999999991,17.97978,18.716,17.782,18.775
PKG_B,RCP_5,Laser_Power,1083,18.48123084025854,0.10452885357233012,0.005655946537101305,18.487,0.06099999999999994,0.09043859999999991,18.07174,18.71859,17.791,18.765
PKG_B,RCP_6,Laser_Power,1099,18.479251137397636,0.09817439543029602,0.005312682570324198,18.485,0.054999999999999716,0.08154299999999957,18.05277,18.70102,17.8,18.756
PKG_B,RCP_7,Laser_Power,1073,18.479350419384904,0.10285772234952553,0.005566089717181153,18.483,0.05900000000000105,0.08747340000000156,18.01528,18.6952,17.841,18.763
PKG_B,RCP_8,Laser_Power,1074,18.47830260707635,0.10321216872662108,0.00558558710295693,18.4845,0.0625,0.0926625,18.07906,18.69727,17.841,18.772
PKG_B,RCP_9,Laser_Power,1138,18.479501757469244,0.11248545883346624,0.006087039591746604,18.485,0.0625,0.0926625,17.915125,18.707315,17.812,18.74
PKG_C,RCP_1,Laser_Power,1076,18.482235130111523,0.10545592493673424,0.00570579933619197,18.488,0.062000000000001165,0.09192120000000173,18.035875,18.699125000000002,17.818,18.718
PKG_C,RCP_2,Laser_Power,1103,18.478416137805983,0.11089996470367629,0.0060015947187583955,18.489,0.05799999999999983,0.08599079999999974,17.86012,18.69298,17.748,18.741
PKG_C,RCP_3,Laser_Power,1071,18.482732026143793,0.0969011640772984,0.00524279440616419,18.488,0.06099999999999994,0.09043859999999991,18.1673,18.6963,17.854,18.739
PKG_C,RCP_4,Laser_Power,1089,18.483944903581268,0.10163812995915716,0.005498725001039402,18.489,0.0589999999999975,0.08747339999999629,18.03136,18.71312,17.823,18.737
PKG_C,RCP_5,Laser_Power,1008,18.48274206349206,0.10510667459867416,0.005686746816982615,18.489,0.06449999999999889,0.09562769999999834,18.158385000000003,18.691860000000002,17.779,18.775
PKG_C,RCP_6,Laser_Power,1108,18.47113989169675,0.12053027715740715,0.006525329669101179,18.482,0.06299999999999883,0.09340379999999826,17.897955,18.695719999999998,17.75,18.769
PKG_C,RCP_7,Laser_Power,1043,18.480131351869606,0.10802824062417651,0.0058456424668890394,18.489,0.0589999999999975,0.08747339999999629,17.88936,18.720689999999998,17.763,18.767
PKG_C,RCP_8,Laser_Power,1102,18.48438656987296,0.1025603622411126,0.0055484861157509046,18.494,0.05699999999999861,0.08450819999999792,18.107565,18.693414999999998,17.761,18.752
PKG_C,RCP_9,Laser_Power,1128,18.48092375886525,0.10937307612509967,0.005918160669465112,18.489,0.05799999999999983,0.08599079999999974,17.878890000000002,18.708095,17.739,18.767
PKG_D,RCP_1,Laser_Power,1157,18.479574762316336,0.11169334712315723,0.006044151370350957,18.493,0.062000000000001165,0.09192120000000173,17.87872,18.69832,17.763,18.757
PKG_D,RCP_2,Laser_Power,1110,18.479834234234232,0.0980619938763787,0.005306432548768054,18.486,0.05600000000000094,0.08302560000000139,18.141615,18.687365,17.669,18.754
PKG_D,RCP_3,Laser_Power,1060,18.480359433962263,0.10506596720733448,0.005685277257878957,18.486,0.060000000000002274,0.08895600000000337,18.00113,18.695705,17.866,18.728
PKG_D,RCP_4,Laser_Power,1055,18.477316587677723,0.11342836750041756,0.006138790065223076,18.489,0.06099999999999994,0.09043859999999991,17.91759,18.68265,17.757,18.755
