column,logit_coef,odds_ratio_per_stratum_sd,meaningful_after_machine_control,gb_importance_mean,gb_top10,confirmed_v2_machine_controlled
Cleaning_Capacity,-2.0032316079260415,0.13489863857480766,True,-0.0001410254299134994,False,False
Cleaning_Load_Ratio,-1.1916395233856802,0.30372289484547815,True,0.00037288090707980154,True,True
CLN_Pressure,-0.812754332875663,0.4436344649023669,True,0.07042493580209512,True,True
CLN_Time,0.7090141817373455,2.031987100947837,True,0.00011513558169649052,True,True
Coating_Thickness,-0.5960341891612558,0.550992440699904,True,0.037261077808713655,True,True
CLN_Flow,-0.19033274305332482,0.8266840148106877,True,0.17064737033777427,True,True
Laser_Power,0.13813170754320536,1.1481267572708975,False,0.000231965148021455,True,False
Coating_Uniformity,-0.1214863941900379,0.8856031026144132,False,0.0043902549639326304,True,False
Groove_Depth,0.11856740070534598,1.1258827568366294,False,-9.528784494856612e-05,False,False
Bottom_Kerf,-0.06999096167849551,0.9324022472191457,False,6.127751503981482e-05,False,False
Laser_Centering_Position,0.058921062223172734,1.0606915088057913,False,-0.00010107405775550878,False,False
Top_Kerf,0.05170559021248289,1.0530656640321454,False,-9.526956647272211e-05,False,False
Cooling_Thermal_Load,-0.04832493386037337,0.9528241319480601,False,-0.00022874276025199128,False,False
Laser_Voltage,-0.04519642100733068,0.955809722285276,False,-7.967265056222732e-06,False,False
Alignment_Time,0.04002471357168305,1.0408364966619104,False,-7.198493866596619e-06,False,False
Cooling_Flow,-0.038248266620058445,0.9624739610698617,False,-3.123468959342901e-06,False,False
Vibration,0.02998586174794216,1.03043996523057,False,-3.5492499258190276e-05,False,False
Process_Time,0.02725492874488308,1.027629741734449,False,-0.00015994526521171762,False,False
Cutting_Offset,-0.023391279115282184,0.9768801761725953,False,-2.2272860410899044e-06,False,False
Laser_Cleaning_Demand,0.020826006663347118,1.0210443812624797,False,1.7648406023007544e-05,False,False
Cutting_Y_Index,0.02017300778810354,1.0203778580730722,False,6.848030972412082e-05,True,False
Kerf_Angle,0.019912591671420253,1.0201121698299749,False,-4.34898700392002e-05,False,False
Package_Size_4,0.01827655637606938,1.0184445947926797,False,7.521700327467092e-05,True,False
Cutting_X_Index,-0.015783329159709158,0.9843405748508882,False,-0.00010052677868492103,False,False
Head_Temp,-0.015504405082423605,0.984615169431203,False,2.179170641354311e-05,False,False
Package_Size_3,0.011194054089727143,1.0112569419508555,False,-0.0002367019612746694,False,False
Package_Size_2,-0.010511874178677456,0.9895431824855802,False,-5.394515821811237e-05,False,False
Laser_Current,-0.010337715237134473,0.989715535286808,False,-8.283213887000004e-05,False,False
Kerf_Width_Profile,-0.00914527022707822,0.9908964205686893,False,3.2612564109165317e-05,False,False
Power_Efficiency,-0.00911756725693345,0.9909238717228824,False,-9.741352416804035e-05,False,False
Surface_Roughness,-0.00664867945569584,0.9933733741107904,False,2.6929033328230525e-05,False,False
Beam_Diameter,0.006132789991760426,1.0061516340508254,False,-5.404784024412764e-05,False,False
Package_Size_1,0.004005298478819393,1.0040133304066141,False,-2.309485422049562e-05,False,False
Focus,0.003551713953181513,1.0035580287631036,False,-3.2192696767337674e-05,False,False
Coating_Flow,-0.003461160850937137,0.9965448220616828,False,8.443043029996804e-06,False,False
Frequency,0.002564729406716484,1.0025680211387138,False,2.769834212014525e-05,False,False
Feed_Speed,-0.002431113907352028,0.9975718388567433,False,-3.5777428441038e-06,False,False
Cooling_Water_Temp,-0.0013953340897798552,0.9986056389362131,False,-0.00010034399392654011,False,False
Laser_Head_Remain_Time,-0.0005539735838538933,0.9994461798311813,False,6.182210609928518e-05,True,False
