Machine_ID,Product_ID,Recipe_ID,column,cusum_date,days,ctrl_date,lead
DP02,PKG_F,RCP_9,Bottom_Kerf,2026-02-28,26.427777777777777,,
DP02,PKG_A,RCP_1,Laser_Power,2026-02-15,16.168055555555554,,
DP02,PKG_A,RCP_4,Laser_Power,2026-03-09,20.79652777777778,,
DP02,PKG_A,RCP_5,Laser_Power,2026-03-06,24.814583333333335,,
DP02,PKG_B,RCP_2,Laser_Power,2026-03-01,22.647222222222222,,
DP02,PKG_B,RCP_4,Laser_Power,2026-02-28,17.961111111111112,,
DP02,PKG_B,RCP_5,Laser_Power,2026-02-21,19.266666666666666,,
DP02,PKG_C,RCP_3,Laser_Power,2026-02-19,21.52986111111111,,
DP02,PKG_C,RCP_5,Laser_Power,2026-02-17,15.415277777777778,,
DP02,PKG_D,RCP_1,Laser_Power,2026-03-07,23.303472222222222,,
DP02,PKG_D,RCP_2,Laser_Power,2026-03-13,14.584027777777777,,
DP02,PKG_D,RCP_5,Laser_Power,2026-02-22,17.652083333333334,,
DP02,PKG_D,RCP_8,Laser_Power,2026-03-08,21.839583333333334,,
DP02,PKG_E,RCP_2,Laser_Power,2026-03-05,17.7375,,
DP02,PKG_E,RCP_4,Laser_Power,2026-03-13,17.05625,,
DP02,PKG_E,RCP_6,Laser_Power,2026-02-19,16.790972222222223,,
DP02,PKG_F,RCP_1,Laser_Power,2026-02-13,45.29097222222222,,
DP02,PKG_F,RCP_3,Laser_Power,2026-03-08,16.480555555555554,,
DP02,PKG_F,RCP_4,Laser_Power,2026-03-04,26.061805555555555,,
DP02,PKG_F,RCP_5,Laser_Power,2026-03-02,28.104166666666668,,
DP02,PKG_F,RCP_6,Laser_Power,2026-03-10,20.679861111111112,,
DP02,PKG_F,RCP_7,Laser_Power,2026-02-24,26.439583333333335,,
DP02,PKG_F,RCP_9,Laser_Power,2026-02-28,26.427777777777777,,
DP02,PKG_A,RCP_2,Power_Efficiency,2026-03-09,19.114583333333332,,
DP02,PKG_A,RCP_6,Power_Efficiency,2026-03-03,24.560416666666665,,
DP02,PKG_B,RCP_5,Power_Efficiency,2026-02-26,17.227777777777778,,
DP02,PKG_C,RCP_2,Power_Efficiency,2026-02-14,20.60625,,
DP02,PKG_E,RCP_2,Power_Efficiency,2026-03-05,15.597916666666666,,
DP02,PKG_E,RCP_6,Power_Efficiency,2026-03-02,16.294444444444444,,
