Product_ID,Recipe_ID,column,n,mean,std,cv,median,mad,robust_z_scale,p0_5,p99_5,min,max,median_source
PKG_A,RCP_1,Laser_Power,1737,18.48314450201497,0.08396459620515812,0.00454276577213388,18.5,0.05500000000000327,0.08154300000000485,18.27244,18.702640000000002,18.183,18.75,mentor_target
PKG_A,RCP_2,Laser_Power,1650,18.48683878787879,0.08266559402289513,0.004471591653468425,18.5,0.0589999999999975,0.08747339999999629,18.28096,18.694755,18.215,18.757,mentor_target
PKG_A,RCP_3,Laser_Power,1632,18.487109681372548,0.0817060250855196,0.004419621373688603,18.5,0.05649999999999622,0.08376689999999438,18.276155,18.68938,18.229,18.742,mentor_target
PKG_A,RCP_4,Laser_Power,1602,18.489421348314607,0.08358766241415243,0.004520837122994756,18.5,0.05699999999999861,0.08450819999999792,18.285005,18.698990000000002,18.215,18.781,mentor_target
PKG_A,RCP_5,Laser_Power,1690,18.48856331360947,0.082899490190928,0.00448382542141095,18.5,0.05699999999999861,0.08450819999999792,18.27589,18.700110000000002,18.208,18.757,mentor_target
PKG_A,RCP_6,Laser_Power,1613,18.487732176069436,0.08207951079197473,0.0044396743748927004,18.5,0.05699999999999861,0.08450819999999792,18.288420000000002,18.69546,18.24,18.748,mentor_target
PKG_A,RCP_7,Laser_Power,1706,18.491611371629542,0.07891456956712742,0.004267587501227764,18.5,0.054999999999999716,0.08154299999999957,18.290725000000002,18.701475000000002,18.226,18.768,mentor_target
PKG_A,RCP_8,Laser_Power,1700,18.490801764705882,0.08522078860409368,0.004608820628143769,18.5,0.05600000000000094,0.08302560000000139,18.262495,18.700515000000003,18.191,18.773,mentor_target
PKG_A,RCP_9,Laser_Power,1736,18.485906105990782,0.0842829928225259,0.004559310879287224,18.5,0.057500000000000995,0.08524950000000148,18.274,18.704325,18.24,18.781,mentor_target
PKG_B,RCP_1,Laser_Power,1765,18.49004985835694,0.0855593891829583,0.004627320631279318,18.5,0.05799999999999983,0.08599079999999974,18.29082,18.71254,18.201,18.754,mentor_target
PKG_B,RCP_2,Laser_Power,1749,18.48842081189251,0.08242985466210051,0.00445845837785552,18.5,0.05699999999999861,0.08450819999999792,18.277,18.701,18.219,18.767,mentor_target
PKG_B,RCP_3,Laser_Power,1673,18.48828392109982,0.08065237198090823,0.0043623503579401125,18.5,0.05600000000000094,0.08302560000000139,18.292080000000002,18.7,18.201,18.776,mentor_target
PKG_B,RCP_4,Laser_Power,1707,18.489137082601054,0.08272992374543642,0.004474515136960516,18.5,0.05799999999999983,0.08599079999999974,18.26659,18.67994,18.172,18.719,mentor_target
PKG_B,RCP_5,Laser_Power,1646,18.488992709599028,0.08450703793469168,0.00457066749184328,18.5,0.0589999999999975,0.08747339999999629,18.27545,18.716425,18.186,18.8,mentor_target
PKG_B,RCP_6,Laser_Power,1613,18.486073155610665,0.08288980909248352,0.004483905716197267,18.5,0.05700000000000216,0.0845082000000032,18.256240000000002,18.68864,18.205,18.767,mentor_target
PKG_B,RCP_7,Laser_Power,1605,18.487668535825545,0.0837138415674906,0.0045280907868544525,18.5,0.05600000000000094,0.08302560000000139,18.264,18.691,18.208,18.79,mentor_target
PKG_B,RCP_8,Laser_Power,1633,18.487603796693204,0.08124198548881292,0.004394403211050224,18.5,0.054000000000002046,0.08006040000000303,18.279,18.689,18.221,18.731,mentor_target
PKG_B,RCP_9,Laser_Power,1640,18.487900609756096,0.07947920322835854,0.004298984774205095,18.5,0.053999999999998494,0.08006039999999776,18.298585,18.685805,18.257,18.726,mentor_target
PKG_C,RCP_1,Laser_Power,1627,18.48559065765212,0.08317395846382065,0.004499394149972197,18.5,0.05600000000000094,0.08302560000000139,18.26565,18.70261,18.194,18.781,mentor_target
PKG_C,RCP_2,Laser_Power,1738,18.485231875719215,0.08256802835085988,0.004466702333299639,18.5,0.05600000000000094,0.08302560000000139,18.278685,18.698315,18.22,18.779,mentor_target
PKG_C,RCP_3,Laser_Power,1706,18.486168229777256,0.08725237173982765,0.00471987329420073,18.5,0.05799999999999983,0.08599079999999974,18.2681,18.73,18.164,18.772,mentor_target
PKG_C,RCP_4,Laser_Power,1637,18.488747098350643,0.08329621083847209,0.004505238261704755,18.5,0.05699999999999861,0.08450819999999792,18.282,18.69264,18.191,18.736,mentor_target
PKG_C,RCP_5,Laser_Power,1697,18.487037124337064,0.08544766501126178,0.00462203134210052,18.5,0.05600000000000094,0.08302560000000139,18.26692,18.70712,18.191,18.776,mentor_target
PKG_C,RCP_6,Laser_Power,1630,18.486266871165647,0.08439330629836655,0.0045651892232498725,18.5,0.05550000000000033,0.08228430000000048,18.26187,18.696565,18.199,18.821,mentor_target
PKG_C,RCP_7,Laser_Power,1676,18.48611813842482,0.08287012895963275,0.004482830215575697,18.5,0.05649999999999977,0.08376689999999966,18.27575,18.702875,18.19,18.749,mentor_target
PKG_C,RCP_8,Laser_Power,1692,18.486739361702128,0.08367781294918686,0.004526369486364761,18.5,0.05699999999999861,0.08450819999999792,18.27391,18.690545,18.204,18.742,mentor_target
PKG_C,RCP_9,Laser_Power,1784,18.49114630044843,0.08417728539278362,0.004552302168024176,18.5,0.05799999999999983,0.08599079999999974,18.277829999999998,18.69534,18.215,18.734,mentor_target
PKG_D,RCP_1,Laser_Power,1706,18.49114243845252,0.08358245752979027,0.004520134859595245,18.5,0.05649999999999977,0.08376689999999966,18.28305,18.6999,18.229,18.808,mentor_target
PKG_D,RCP_2,Laser_Power,1611,18.486746741154562,0.0857156887528736,0.004636602099495217,18.5,0.0589999999999975,0.08747339999999629,18.2732,18.6979,18.218,18.776,mentor_target
PKG_D,RCP_3,Laser_Power,1671,18.48673010173549,0.08327820511176032,0.004504755825041356,18.5,0.05699999999999861,0.08450819999999792,18.28135,18.69225,18.167,18.754,mentor_target
PKG_D,RCP_4,Laser_Power,1595,18.48424514106583,0.08385441448881356,0.004536534429665023,18.5,0.05700000000000216,0.0845082000000032,18.267970000000002,18.70103,18.218,18.813,mentor_target
PKG_D,RCP_5,Laser_Power,1681,18.488233789411066,0.08379918996355772,0.0045325687092702596,18.5,0.05700000000000216,0.0845082000000032,18.2896,18.699,18.223,18.75,mentor_target
PKG_D,RCP_6,Laser_Power,1690,18.488378106508875,0.08332551315565351,0.004506913082133396,18.5,0.05799999999999983,0.08599079999999974,18.275,18.697555,18.195,18.799,mentor_target
PKG_D,RCP_7,Laser_Power,1655,18.486490634441086,0.08334339739450625,0.004508340660354113,18.5,0.054999999999999716,0.08154299999999957,18.26743,18.68946,18.177,18.765,mentor_target
PKG_D,RCP_8,Laser_Power,1625,18.487454153846155,0.08223092721524104,0.004447931366371157,18.5,0.05600000000000094,0.08302560000000139,18.259439999999998,18.686880000000002,18.163,18.784,mentor_target
PKG_D,RCP_9,Laser_Power,1730,18.488359537572254,0.08166578467226317,0.00441714607000697,18.5,0.05600000000000094,0.08302560000000139,18.280225,18.677709999999998,18.164,18.749,mentor_target
PKG_E,RCP_1,Laser_Power,1697,18.492838538597525,0.08264980595426795,0.0044692871665842175,18.5,0.05699999999999861,0.08450819999999792,18.269479999999998,18.69804,18.219,18.818,mentor_target
PKG_E,RCP_2,Laser_Power,1692,18.49099586288416,0.08376810014225584,0.004530210312274117,18.5,0.054999999999999716,0.08154299999999957,18.28182,18.709545000000002,18.219,18.784,mentor_target
PKG_E,RCP_3,Laser_Power,1680,18.488683333333334,0.08363613986313023,0.004523639588349822,18.5,0.05600000000000094,0.08302560000000139,18.27,18.697235,18.205,18.728,mentor_target
